Loading file decode
0 0x800007d0: lui    sp, 0x80020000
479 0x8000007c: addi   a4, a4, 4
480 0x80000080: addi   a0, zero, 32
481 0x80000084: bltu   a4, a0, 0x80000070
482 0x80000070: add    a1, sp, a4
483 0x80000074: lw     a1, 0(a1)
484 0x80000078: beq    a3, a1, 0x80000090
485 0x8000007c: addi   a4, a4, 4
486 0x80000080: addi   a0, zero, 32
487 0x80000084: bltu   a4, a0, 0x80000070
488 0x80000070: add    a1, sp, a4
489 0x80000074: lw     a1, 0(a1)
490 0x80000078: beq    a3, a1, 0x80000090
491 0x8000007c: addi   a4, a4, 4
492 0x80000080: addi   a0, zero, 32
493 0x80000084: bltu   a4, a0, 0x80000070
494 0x80000070: add    a1, sp, a4
495 0x80000074: lw     a1, 0(a1)
496 0x80000078: beq    a3, a1, 0x80000090
497 0x8000007c: addi   a4, a4, 4
498 0x80000080: addi   a0, zero, 32
499 0x80000084: bltu   a4, a0, 0x80000070
500 0x80000070: add    a1, sp, a4
501 0x80000074: lw     a1, 0(a1)
502 0x80000078: beq    a3, a1, 0x80000090
503 0x8000007c: addi   a4, a4, 4
504 0x80000080: addi   a0, zero, 32
505 0x80000084: bltu   a4, a0, 0x80000070
506 0x80000070: add    a1, sp, a4
507 0x80000074: lw     a1, 0(a1)
508 0x80000078: beq    a3, a1, 0x80000090
509 0x8000007c: addi   a4, a4, 4
510 0x80000080: addi   a0, zero, 32
511 0x80000084: bltu   a4, a0, 0x80000070
512 0x80000070: add    a1, sp, a4
513 0x80000074: lw     a1, 0(a1)
514 0x80000078: beq    a3, a1, 0x80000090
515 0x8000007c: addi   a4, a4, 4
516 0x80000080: addi   a0, zero, 32
517 0x80000084: bltu   a4, a0, 0x80000070
518 0x80000088: sw     a3, 0(a2)
519 0x8000008c: addi   a2, a2, 4
520 0x80000090: addi   a3, a3, 1
521 0x80000094: addi   a0, zero, 16
522 0x80000098: bltu   a3, a0, 0x8000006c
523 0x8000006c: addi   a4, zero, 0
524 0x80000070: add    a1, sp, a4
525 0x80000074: lw     a1, 0(a1)
526 0x80000078: beq    a3, a1, 0x80000090
527 0x8000007c: addi   a4, a4, 4
528 0x80000080: addi   a0, zero, 32
529 0x80000084: bltu   a4, a0, 0x80000070
530 0x80000070: add    a1, sp, a4
531 0x80000074: lw     a1, 0(a1)
532 0x80000078: beq    a3, a1, 0x80000090
533 0x8000007c: addi   a4, a4, 4
534 0x80000080: addi   a0, zero, 32
535 0x80000084: bltu   a4, a0, 0x80000070
536 0x80000070: add    a1, sp, a4
537 0x80000074: lw     a1, 0(a1)
538 0x80000078: beq    a3, a1, 0x80000090
539 0x8000007c: addi   a4, a4, 4
540 0x80000080: addi   a0, zero, 32
541 0x80000084: bltu   a4, a0, 0x80000070
542 0x80000070: add    a1, sp, a4
543 0x80000074: lw     a1, 0(a1)
544 0x80000078: beq    a3, a1, 0x80000090
545 0x80000090: addi   a3, a3, 1
546 0x80000094: addi   a0, zero, 16
547 0x80000098: bltu   a3, a0, 0x8000006c
548 0x8000006c: addi   a4, zero, 0
549 0x80000070: add    a1, sp, a4
550 0x80000074: lw     a1, 0(a1)
551 0x80000078: beq    a3, a1, 0x80000090
552 0x8000007c: addi   a4, a4, 4
553 0x80000080: addi   a0, zero, 32
554 0x80000084: bltu   a4, a0, 0x80000070
555 0x80000070: add    a1, sp, a4
556 0x80000074: lw     a1, 0(a1)
557 0x80000078: beq    a3, a1, 0x80000090
558 0x8000007c: addi   a4, a4, 4
559 0x80000080: addi   a0, zero, 32
560 0x80000084: bltu   a4, a0, 0x80000070
561 0x80000070: add    a1, sp, a4
562 0x80000074: lw     a1, 0(a1)
563 0x80000078: beq    a3, a1, 0x80000090
564 0x8000007c: addi   a4, a4, 4
565 0x80000080: addi   a0, zero, 32
566 0x80000084: bltu   a4, a0, 0x80000070
567 0x80000070: add    a1, sp, a4
568 0x80000074: lw     a1, 0(a1)
569 0x80000078: beq    a3, a1, 0x80000090
570 0x8000007c: addi   a4, a4, 4
571 0x80000080: addi   a0, zero, 32
572 0x80000084: bltu   a4, a0, 0x80000070
573 0x80000070: add    a1, sp, a4
574 0x80000074: lw     a1, 0(a1)
575 0x80000078: beq    a3, a1, 0x80000090
576 0x8000007c: addi   a4, a4, 4
577 0x80000080: addi   a0, zero, 32
578 0x80000084: bltu   a4, a0, 0x80000070
579 0x80000070: add    a1, sp, a4
580 0x80000074: lw     a1, 0(a1)
581 0x80000078: beq    a3, a1, 0x80000090
582 0x8000007c: addi   a4, a4, 4
583 0x80000080: addi   a0, zero, 32
584 0x80000084: bltu   a4, a0, 0x80000070
585 0x80000070: add    a1, sp, a4
586 0x80000074: lw     a1, 0(a1)
587 0x80000078: beq    a3, a1, 0x80000090
588 0x8000007c: addi   a4, a4, 4
589 0x80000080: addi   a0, zero, 32
590 0x80000084: bltu   a4, a0, 0x80000070
591 0x80000070: add    a1, sp, a4
592 0x80000074: lw     a1, 0(a1)
593 0x80000078: beq    a3, a1, 0x80000090
594 0x8000007c: addi   a4, a4, 4
595 0x80000080: addi   a0, zero, 32
596 0x80000084: bltu   a4, a0, 0x80000070
597 0x80000088: sw     a3, 0(a2)
